Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział
01;;;KANCELARIA PREZYDENTA RP;245856;01;total;245.9 MLN;KANCELARIA PREZYDENTA RP 245.9 MLN;KANCELARIA PREZYDENTA RP;KANCELARIA PREZYDENTA RP
01;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;206406;01-751;01;206.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 206.4 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;171794;01-751-75101;01-751;171.8 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 171.8 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;751;75103;Biuro Bezpieczeństwa Narodowego;19282;01-751-75103;01-751;19.3 MLN;Biuro Bezpieczeństwa Narodowego 19.3 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;751;75106;Odznaczenia państwowe;6494;01-751-75106;01-751;6.5 MLN;Odznaczenia państwowe 6.5 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;751;75111;Biuro Polityki Międzynarodowej;5960;01-751-75111;01-751;6.0 MLN;Biuro Polityki Międzynarodowej 6.0 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;751;75195;Pozostała działalność;2876;01-751-75195;01-751;2.9 MLN;Pozostała działalność 2.9 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
01;921;;Kultura i ochrona dziedzictwa narodowego;39450;01-921;01;39.5 MLN;Kultura i ochrona dziedzictwa narodowego 39.5 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego
01;921;92120;Ochrona zabytków i opieka nad zabytkami;2450;01-921-92120;01-921;2.5 MLN;Ochrona zabytków i opieka nad zabytkami 2.5 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego
01;921;92123;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa;37000;01-921-92123;01-921;37.0 MLN;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa 37.0 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego
02;;;KANCELARIA SEJMU;683226;02;total;683.2 MLN;KANCELARIA SEJMU 683.2 MLN;KANCELARIA SEJMU;KANCELARIA SEJMU
02;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;683226;02-751;02;683.2 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 683.2 MLN;KANCELARIA SEJMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
02;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;683226;02-751-75101;02-751;683.2 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 683.2 MLN;KANCELARIA SEJMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
03;;;KANCELARIA SENATU;152044;03;total;152.0 MLN;KANCELARIA SENATU 152.0 MLN;KANCELARIA SENATU;KANCELARIA SENATU
03;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;152044;03-751;03;152.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 152.0 MLN;KANCELARIA SENATU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
03;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;152044;03-751-75101;03-751;152.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 152.0 MLN;KANCELARIA SENATU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
04;;;SĄD NAJWYŻSZY;217740;04;total;217.7 MLN;SĄD NAJWYŻSZY 217.7 MLN;SĄD NAJWYŻSZY;SĄD NAJWYŻSZY
04;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;175925;04-751;04;175.9 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 175.9 MLN;SĄD NAJWYŻSZY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
04;751;75102;Naczelne organy sądownictwa;175925;04-751-75102;04-751;175.9 MLN;Naczelne organy sądownictwa 175.9 MLN;SĄD NAJWYŻSZY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
04;753;;Obowiązkowe ubezpieczenia społeczne;41815;04-753;04;41.8 MLN;Obowiązkowe ubezpieczenia społeczne 41.8 MLN;SĄD NAJWYŻSZY;Obowiązkowe ubezpieczenia społeczne
04;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;41815;04-753-75312;04-753;41.8 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 41.8 MLN;SĄD NAJWYŻSZY;Obowiązkowe ubezpieczenia społeczne
05;;;NACZELNY SĄD ADMINISTRACYJNY;703563;05;total;703.6 MLN;NACZELNY SĄD ADMINISTRACYJNY 703.6 MLN;NACZELNY SĄD ADMINISTRACYJNY;NACZELNY SĄD ADMINISTRACYJNY
05;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;605114;05-751;05;605.1 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 605.1 MLN;NACZELNY SĄD ADMINISTRACYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
05;751;75102;Naczelne organy sądownictwa;605114;05-751-75102;05-751;605.1 MLN;Naczelne organy sądownictwa 605.1 MLN;NACZELNY SĄD ADMINISTRACYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
05;753;;Obowiązkowe ubezpieczenia społeczne;98449;05-753;05;98.4 MLN;Obowiązkowe ubezpieczenia społeczne 98.4 MLN;NACZELNY SĄD ADMINISTRACYJNY;Obowiązkowe ubezpieczenia społeczne
05;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;98449;05-753-75312;05-753;98.4 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 98.4 MLN;NACZELNY SĄD ADMINISTRACYJNY;Obowiązkowe ubezpieczenia społeczne
06;;;TRYBUNAŁ KONSTYTUCYJNY;48659;06;total;48.7 MLN;TRYBUNAŁ KONSTYTUCYJNY 48.7 MLN;TRYBUNAŁ KONSTYTUCYJNY;TRYBUNAŁ KONSTYTUCYJNY
06;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;37439;06-751;06;37.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 37.4 MLN;TRYBUNAŁ KONSTYTUCYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
06;751;75102;Naczelne organy sądownictwa;37439;06-751-75102;06-751;37.4 MLN;Naczelne organy sądownictwa 37.4 MLN;TRYBUNAŁ KONSTYTUCYJNY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
06;753;;Obowiązkowe ubezpieczenia społeczne;11220;06-753;06;11.2 MLN;Obowiązkowe ubezpieczenia społeczne 11.2 MLN;TRYBUNAŁ KONSTYTUCYJNY;Obowiązkowe ubezpieczenia społeczne
06;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;11220;06-753-75312;06-753;11.2 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 11.2 MLN;TRYBUNAŁ KONSTYTUCYJNY;Obowiązkowe ubezpieczenia społeczne
07;;;NAJWYŻSZA IZBA KONTROLI;364346;07;total;364.3 MLN;NAJWYŻSZA IZBA KONTROLI 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;NAJWYŻSZA IZBA KONTROLI
07;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;364346;07-751;07;364.3 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
07;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;364346;07-751-75101;07-751;364.3 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 364.3 MLN;NAJWYŻSZA IZBA KONTROLI;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
08;;;RZECZNIK PRAW OBYWATELSKICH;68624;08;total;68.6 MLN;RZECZNIK PRAW OBYWATELSKICH 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;RZECZNIK PRAW OBYWATELSKICH
08;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;68624;08-751;08;68.6 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
08;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;68624;08-751-75101;08-751;68.6 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 68.6 MLN;RZECZNIK PRAW OBYWATELSKICH;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa
09;;;KRAJOWA RADA RADIOFONII I TELEWIZJI;83094;09;total;83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI 83.1 MLN;KRAJOWA RADA RADIOFONII I TELEWIZJI;KRAJOWA RADA RADIOFONII I TELEWIZJI
