Część;Dział;Rozdział;Treść;Plan;id;parent;label;super_label;Treść_część;Treść_dział;per_capita;percapita_super_label
01;;;KANCELARIA PREZYDENTA RP;245856;01;total;245.9 MLN;KANCELARIA PREZYDENTA RP 245.9 MLN;KANCELARIA PREZYDENTA RP;KANCELARIA PREZYDENTA RP;6;KANCELARIA PREZYDENTA RP 6 zł
01;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;206406;01-751;01;206.4 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 206.4 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;5;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 5 zł
01;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;171794;01-751-75101;01-751;171.8 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 171.8 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;4;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 4 zł
01;751;75103;Biuro Bezpieczeństwa Narodowego;19282;01-751-75103;01-751;19.3 MLN;Biuro Bezpieczeństwa Narodowego 19.3 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Biuro Bezpieczeństwa Narodowego 0 zł
01;751;75106;Odznaczenia państwowe;6494;01-751-75106;01-751;6.5 MLN;Odznaczenia państwowe 6.5 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Odznaczenia państwowe 0 zł
01;751;75111;Biuro Polityki Międzynarodowej;5960;01-751-75111;01-751;6.0 MLN;Biuro Polityki Międzynarodowej 6.0 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Biuro Polityki Międzynarodowej 0 zł
01;751;75195;Pozostała działalność;2876;01-751-75195;01-751;2.9 MLN;Pozostała działalność 2.9 MLN;KANCELARIA PREZYDENTA RP;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;0;Pozostała działalność 0 zł
01;921;;Kultura i ochrona dziedzictwa narodowego;39450;01-921;01;39.5 MLN;Kultura i ochrona dziedzictwa narodowego 39.5 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego;1;Kultura i ochrona dziedzictwa narodowego 1 zł
01;921;92120;Ochrona zabytków i opieka nad zabytkami;2450;01-921-92120;01-921;2.5 MLN;Ochrona zabytków i opieka nad zabytkami 2.5 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego;0;Ochrona zabytków i opieka nad zabytkami 0 zł
01;921;92123;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa;37000;01-921-92123;01-921;37.0 MLN;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa 37.0 MLN;KANCELARIA PREZYDENTA RP;Kultura i ochrona dziedzictwa narodowego;0;Narodowy Fundusz Rewaloryzacji Zabytków Krakowa 0 zł
02;;;KANCELARIA SEJMU;683226;02;total;683.2 MLN;KANCELARIA SEJMU 683.2 MLN;KANCELARIA SEJMU;KANCELARIA SEJMU;18;KANCELARIA SEJMU 18 zł
02;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;683226;02-751;02;683.2 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 683.2 MLN;KANCELARIA SEJMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;18;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 18 zł
02;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;683226;02-751-75101;02-751;683.2 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 683.2 MLN;KANCELARIA SEJMU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;18;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 18 zł
03;;;KANCELARIA SENATU;152044;03;total;152.0 MLN;KANCELARIA SENATU 152.0 MLN;KANCELARIA SENATU;KANCELARIA SENATU;4;KANCELARIA SENATU 4 zł
03;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;152044;03-751;03;152.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 152.0 MLN;KANCELARIA SENATU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;4;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 4 zł
03;751;75101;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa;152044;03-751-75101;03-751;152.0 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 152.0 MLN;KANCELARIA SENATU;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;4;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa 4 zł
04;;;SĄD NAJWYŻSZY;217740;04;total;217.7 MLN;SĄD NAJWYŻSZY 217.7 MLN;SĄD NAJWYŻSZY;SĄD NAJWYŻSZY;5;SĄD NAJWYŻSZY 5 zł
04;751;;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;175925;04-751;04;175.9 MLN;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 175.9 MLN;SĄD NAJWYŻSZY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;4;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa 4 zł
04;751;75102;Naczelne organy sądownictwa;175925;04-751-75102;04-751;175.9 MLN;Naczelne organy sądownictwa 175.9 MLN;SĄD NAJWYŻSZY;Urzędy naczelnych organów władzy państwowej, kontroli i ochrony prawa oraz sądownictwa;4;Naczelne organy sądownictwa 4 zł
04;753;;Obowiązkowe ubezpieczenia społeczne;41815;04-753;04;41.8 MLN;Obowiązkowe ubezpieczenia społeczne 41.8 MLN;SĄD NAJWYŻSZY;Obowiązkowe ubezpieczenia społeczne;1;Obowiązkowe ubezpieczenia społeczne 1 zł
04;753;75312;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne;41815;04-753-75312;04-753;41.8 MLN;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 41.8 MLN;SĄD NAJWYŻSZY;Obowiązkowe ubezpieczenia społeczne;1;Uposażenia sędziów w stanie spoczynku oraz uposażenia rodzinne 1 zł
